Date,Open,High,Low,Close,Volume
2017-06-08,29.9,30.63,29.51,29.54,731241.68
2017-06-09,29.54,30.31,29.39,30.06,810634.63
2017-06-10,30.06,34.43,29.65,33.63,1650413.18
2017-06-11,33.63,33.7,27.09,28.98,1885099.56
2017-06-12,28.98,30.61,28.74,30.38,762018.85
2017-06-13,30.38,31.81,27.96,29.19,1375707.32
2017-06-14,29.19,29.79,25.45,29.29,1544855.21
2017-06-15,29.29,34.18,28.32,34.12,1710350.24
2017-06-16,34.12,47.7,34.12,45.8,5016967.39
2017-06-17,45.8,45.81,39.49,43.8,2478772.85
2017-06-18,43.8,50.14,42.45,47.37,2886672.05
2017-06-19,47.37,48.32,43.29,45.68,1491973.88
2017-06-20,45.68,46.75,42.85,44.5,1206561.46
2017-06-21,44.5,47.91,43.21,46.16,982111.44
2017-06-22,46.16,46.98,45.48,46.0,522043.52
2017-06-23,46.0,46.09,42.04,42.7,804547.36
2017-06-24,42.7,44.02,39.33,41.28,986926.56
2017-06-25,41.28,42.21,34.43,38.53,1779942.06
2017-06-26,38.53,40.24,34.19,40.24,1403159.72
2017-06-27,40.24,43.1,37.95,41.89,1169845.97
2017-06-28,41.89,41.94,39.45,40.13,638781.54
2017-06-29,40.13,41.22,39.29,39.48,521878.48
2017-06-30,39.48,39.7,37.12,38.08,520504.4
2017-07-01,38.08,41.65,36.87,41.26,682570.75
2017-07-02,41.26,47.56,40.36,45.34,1833533.57
2017-07-03,45.34,54.82,45.34,54.51,2676871.93
2017-07-04,54.51,56.58,49.11,52.92,1864947.31
2017-07-05,52.92,52.98,49.79,51.04,840271.42
2017-07-06,51.04,51.18,44.47,46.1,1745425.55
2017-07-07,46.1,52.11,44.33,51.22,1293429.49
2017-07-08,51.22,52.4,48.32,48.63,861130.65
2017-07-09,48.63,49.66,42.68,45.0,1438096.31
2017-07-10,45.0,46.69,41.84,43.98,1506683.17
2017-07-11,43.98,48.38,42.4,47.14,1314367.81
2017-07-12,47.14,47.66,44.07,45.69,740592.9
2017-07-13,45.69,45.96,39.96,42.46,1243452.92
2017-07-14,42.46,42.68,37.7,38.41,1402645.69
2017-07-15,38.41,41.81,35.49,40.7,1693715.76
2017-07-16,40.7,42.98,39.91,42.17,1442921.42
2017-07-17,42.17,44.84,40.74,43.35,1322076.05
2017-07-18,43.35,43.77,39.82,40.11,988347.66
2017-07-19,40.11,45.23,40.11,44.35,1420088.03
2017-07-20,44.35,47.31,43.99,45.2,1121739.77
2017-07-21,45.2,47.11,44.88,46.47,499635.51
2017-07-22,46.47,46.67,43.63,44.67,625908.97
2017-07-23,44.67,45.28,43.85,44.77,446798.44
2017-07-24,44.77,45.05,40.52,42.3,1002897.84
2017-07-25,42.3,43.09,40.47,42.03,591939.55
2017-07-26,42.03,42.41,40.89,41.89,487374.16
2017-07-27,41.89,42.19,40.17,40.43,616859.99
2017-07-28,40.43,41.4,38.55,41.07,544633.83
2017-07-29,41.07,42.05,39.82,40.61,363404.03
2017-07-30,40.61,43.57,38.45,42.38,893892.82
2017-07-31,42.38,43.93,41.11,43.16,932670.29
2017-08-01,43.16,43.19,41.66,41.92,474729.29
2017-08-02,41.92,43.18,41.8,42.75,329595.07
2017-08-03,42.75,43.77,42.41,43.31,377407.48
2017-08-04,43.31,47.23,43.21,46.24,880132.49
